Designation,CASETYPE
080122 - Penn Design - Plant,Term
080125 - Fisher Fine Arts Library - Plant,Term
346010 - Association of Collegiate Schools Fund,Term
"348094 - Ross Gallery ""Tribute"" Fund",Term
370068 - Penn Design Gift Fund,Term
462806 - George Howard Bickley Endowment,Term
600094 - Lawrence Shprintz Fine Arts Award Fund,Term
600154 - Board of Overseers Special Project Fund,Term
600236 - Penn Design Annual Special Projects,Term
600249 - Lewis Davis Scholarship Fund,Term
600250 - Van Alen Traveling Fellowships Gift Fund,Term
600404 - Pamet River Foundaiton Scholarship Fund,Term
600440 - Penn Design 2000 Alumni Fellowship Fund,Term
600576 - David T C & Iris Chan Gift Fund,Term
600577 - Edmund D Hollander Gift Fund,Term
600659 - Paul K Kelly Family Gates Fund,Term
600710 - Locks Foundation Distinguished Artists,Term
600769 - Kling Fellowship in Architecture,Term
600784 - Kelly Family Studio Arts Initiatives,Term
600807 - Gregory S Bentley Gift Fund,Term
600901 - Crossways Foundation Gift Fund,Term
600954 - Peggotty Gilson Fellowship in Architect,Term
601041 - John & Beatrice Wesley Memorial Prize,Term
601160 - Lachs-Adler Fund Undergrad Fine Arts,Term
601218 - Feldman Siegel Term Gift Fund,Term
601586 - Lyon  Christopher Leland Memorial Fund,Term
"601669 - Lisa Roberts & David Seltzer IPD (Integrated Product Design) Lecture Series through ""Poor Richard's Charitable Trust""",Term
601683 - Bonnie & Gary Sellers Term Fund at the School of Design,Term
601839 - Stewart Building & Housing Development Fund for the School of Design,Term
601848 - Silverstein Photo Program Term Fund,Term
602313 - Undergraduate Fine Arts Director's Discretionary Fund,Term
602314 - Fine Arts Equipment Fund,Term
602315 - Ottawa Animation Festival Term Fund,Term
602544 - Mary Pavia Rolla & Peter M. Rolla Term Fund for Architectural Research,Term
602818 - Sarah Dekker Award for Printmaking,Term
602929 - Sellers Student Jobs Term Fellowship,Term
602968 - Kahn Society Fund,Term
603104 - Warren W. Cunningham Annual Lecture Fund,Term
603161 - The Landscape Architecture 100,Term
603308 - Korman Term Special Projects Fund for Architectural Archives,Term
603326 - Matt Nord Annual Gift Fund,Term
603339 - Professional Conference Travel Fund for Architectural Conservation Students,Term
603385 - Kleinman Center on Energy Policy,Term
603429 - Landscape Architecture Plus (LA+) Journal Fund,Term
603433 - Berger Fellowship Fund,Term
603480 - Integrated Product Design Program and i-Design Award Fund,Term
603759 - The Fund for 125 Years of Architecture,Term
603798 - PennDesign Asia Urban Research Studio,Term
603993 - Kanter Tritsch Prize in Energy and Architectural Innovation Term Fund,Term
604017 - The Harvey and Barbara Kroiz Term Fellowship in Architecture,Term
628041 - Angell Fund,Term
628043 - Architecture Equipment Fund,Term
628044 - Architectural Graduate Fellowship Fund,Term
628094 - Philip Nichols Winslow Fellowship,Term
628206 - Penn Design Current Expense Fund,Term
628207 - Board of Overseers Scholarship Fund,Term
628265 - Perkins Rare Book Fund-School of Design,Term
628356 - Charles Addams Memorial Prize Fund,Term
628405 - Furness Centennial Gala Fund,Term
628430 - Professional & Corporate Associates Program,Term
628632 - Property Rehab Project Fund,Term
628664 - James W Hovey Fund,Term
628692 - Fisher Fine Arts Library Minor Renovation,Term
628699 - Wurzel Gordon Memorial Fellowship,Term
628832 - Samuel K Schneidman Prize Fund,Term
628850 - Gutman Center Gifts Fund,Term
628983 - Penn Design Fellowship Fund,Term
629201 - Robert B. Mitchell Fund,Term
629225 - Hava Gelblum Memorial Gift Fund,Term
629351 - City Planning Discretionary Fund,Term
629374 - Louis I Kahn Fellowship Fund,Term
629438 - Feldman Memorial Student Aid Fund,Term
629472 - Edmund N. Bacon Fund,Term
629494 - Louis I Kahn Archives Fund,Term
840002 - Adam H Fetterolf Fund,Term
840041 - City Planning Scholarship Fund,Term
840100 - Do Not Use Landscape Architecture,Term
840168 - Gsfa Reunion Fellowship Fund,Term
840215 - Howard Bayne Fund,Term
840218 - Kahn Memorial Fund,Term
840280 - Aof - Fine Arts Fund,Term
840380 - Friends of the Architecture Archives,Term
840450 - Friends of the Architectural Archives,Term
840944 - Historic Preservation Generic Fund,Term
840947 - Fine Arts Generic Fund,Term
843010 - Friends of the Archives II,Term
880009 - Ora Fine Arts School Project Fund,Term
890009 - Penn Design - Gift Suspense,Term
040006 - Architectural Alumni Fellowship Fund,Endowed
040209 - Paul P Cret Scholarship Fund,Endowed
040210 - Paul P Cret Professorship,Endowed
040298 - Adam H Fetterolf Fund,Endowed
040327 - Renee Foosaner Scholarship Fund,Endowed
040373 - William Steele Gray Scholarship Fund,Endowed
040387 - Alfred Gumaer Fund,Endowed
040542 - Laise Fine Arts Scholarship Fund,Endowed
040765 - Georgia H. Perkins Endowment Fund,Endowed
040929 - Stewardson Memorial Scholarship Fund,Endowed
041124 - Robert Scott Brown Fund,Endowed
041218 - Penn Design - General Fund,Endowed
041365 - Blackman Memorial Trust  Ivor Hayes,Endowed
041399 - Ella Warren Shafer Miller Professorship,Endowed
041443 - Porreca Memorial Fund for Architecture,Endowed
041674 - Grosser Research Fund in Urban Land Use,Endowed
041695 - Harlan Coornvelt Memorial Award,Endowed
041737 - Faculty Fellowships in Fine Arts,Endowed
041902 - Penn Design Reunion Fellowship Fund,Endowed
041913 - Loula D Lasker Fellowship Fund,Endowed
042011 - Graham Professorship in Architecture,Endowed
042018 - Kroiz Endowment for Kahn Collection,Endowed
042088 - Ian McHarg Professorship: Landscape Architecture,Endowed
042097 - Leach Memorial Fellowship Fund,Endowed
042120 - Meyerson Professorship in Urbanism,Endowed
042154 - T-Square Club Fellowship Fund,Endowed
042159 - Romanach Memorial Fellowship,Endowed
042193 - Carl A Erickson Fund in Architecture,Endowed
042257 - Edgar J Newberry Scholarship Fund,Endowed
042267 - Bockius Traveling Fwsp in Architecture,Endowed
042322 - Faculty Award in Historic Preservation,Endowed
042397 - George Madden Boughton Prize Fund,Endowed
042492 - Will Morris Mehlhorn Prize Fund,Endowed
042531 - Albert Binder Memorial Fellowship Fund,Endowed
042534 - John W Macguire Fellowship Fund,Endowed
042570 - Mehlhorn Scholarship in Architecture,Endowed
042594 - Landscape Architecture Fellowship Fund,Endowed
042611 - Kohn Endowed Fellowship in Architecture,Endowed
042618 - Herbert S Adler Fellowship Fund,Endowed
042767 - Elizabeth Greene Wiley Fellowship Fund,Endowed
042769 - Bendiner Architectural Archive Fund,Endowed
042785 - Louis I Kahn Architecture Professorship,Endowed
042790 - George Patton Architecture Archive Fund,Endowed
042795 - Kaufmann Historic Preservation Fund,Endowed
042806 - George Howard Bickley Endowment,Endowed
042837 - Charles Addams Memorial Prize Fund,Endowed
042861 - Anshen and Allen Traveling Scholarship,Endowed
042868 - Anonymous Fellowship Endowment Fund,Endowed
042885 - Julius Myerberg Architecture Fellowship,Endowed
049111 - Royer Gift Annuity,Endowed
049120 - Mehlhorn Gift Annuity #1,Endowed
049121 - Mehlhorn Gift Annuity #2,Endowed
400030 - Penn Design Dean's Discretionary Fund,Endowed
400128 - Martin I. Freeman  Jr. Fellowship Fund,Endowed
400292 - Susan Coslett Memorial Traveling Fellowship,Endowed
400360 - Irving Miller Memorial Fund,Endowed
400470 - Anne Fisher Graduate Fellowship,Endowed
400476 - William J & Flora C Fedeli Fellowship,Endowed
400490 - David & Florence Newman Endowed Scholarship,Endowed
400563 - Wendy Evans Traveling Endowed Scholarship Fund,Endowed
400578 - Thomas C Lehman Memorial Fellowship Fund,Endowed
400682 - G H Perkins Distinguished Visiting Professorship,Endowed
400713 - Leo S. Wou  FAIA  Memorial Scholarship,Endowed
400992 - Ewing Cole Endowed Lecture Fund,Endowed
401227 - G Holmes Perkins Endowment,Endowed
401250 - Pittman Family Scholars Endowed Fund,Endowed
401373 - David DeLong Fellowship,Endowed
401651 - Michael Yaron Prize in Architecture,Endowed
401725 - Berton E Korman Fund,Endowed
401732 - Robert A Fox Fund,Endowed
401748 - City and Regional Planning Fellowship,Endowed
401829 - Feldman-Siegel Endowment Fund,Endowed
401846 - Don Prowler Endowment Fund,Endowed
401987 - Crossways Professorship City & Regional Planning,Endowed
402022 - Halpern-Rogath Fine Arts Traveling Fellowship,Endowed
402230 - Shedd Fund for Architectural Archives,Endowed
402231 - Shedd Fund for Landscape Studies,Endowed
402322 - Sheldon Fox & Kohn Pedersen Fox Lectures Fund,Endowed
402387 - Robert and Susan Heidenberg Endowed Fellowship Fund,Endowed
402419 - Gary & Barbara Siegler Special Projects Fund in Landscape Architecture,Endowed
402576 - Robin M. Beckett Fund,Endowed
402594 - VanBeuren-Glascock Fund for Innovation at the School of Design,Endowed
402704 - Martin S. Kermacy Traveling Fellowship for the Architecture Department of the School of Design,Endowed
402724 - Howard A. Silverstein & Patricia Bleznak Silverstein Photography Program Endowed Fund,Endowed
402743 - Jane Marrow Fellowship,Endowed
402762 - Sardegna Fund,Endowed
403077 - Anonymous Endowed Fellowship Fund for Teaching Fellowships,Endowed
403343 - Mary Pavia Rolla & Peter M. Rolla Endowed Fund for Architectural Research,Endowed
403520 - Sachs Endowed Visiting Professorship in Fine Arts,Endowed
403525 - Keith L. & Katherine S. Sachs Fine Arts Program Fund,Endowed
403538 - Hovnanian Endowed Fellowship at the School of Design,Endowed
403543 - Abramson Family Fellowship Fund,Endowed
403738 - Daniel S. Bomson Family Fellowship Fund,Endowed
403755 - Sellers Endowed Fellowship Fund,Endowed
404142 - Kevin and Erica Penn Presidential Professorship,Endowed
404159 - Marilyn Jordan Taylor Presidential Professorship,Endowed
404180 - The Christopher Leland Lyon Memorial Fund,Endowed
404211 - Harvey and Barbara Kroiz Endowed Fund for the Architectural Archives in the School of Design,Endowed
404286 - The Lee and Rolaine Copeland Endowed Fellowship,Endowed
404312 - Catherine and Key Kolb Endowment Fund,Endowed
404457 - Jay Goldman Design Fellowship Fund,Endowed
404517 - The George W. Neff Memorial Fellowship Fund,Endowed
404596 - The Atkin Fellowship Fund,Endowed
404617 - The Robin and Jeffrey Kaplan Fund,Endowed
404644 - Willoughby Family Endowed Fellowship Fund,Endowed
404788 - The Leight Foundation Fellowship,Endowed
404793 - Pickman Udell Endowed Fellowship Fund,Endowed
404828 - Lori Kanter Tritsch Prize in Energy and Architectural Innovation Endowed Fund,Endowed
460539 - Warren Powers Laird Myers Fund,Endowed
490021 - Marjorie Miller Luke Annuity Trust,Endowed
842967 - Gift Annuity Pool PennDesign,Endowed
